Sampling Date;Day;Month;Year;Season;Operator;Block;CO2_trtmt;Ring;Collar;Month_Ring;Month_Collar;SampleTrackerNo;Av_SoilTemp;Av_SoilMoisture;Av_AirTemp;TFUcorr_Final_CH4_flux;TFUcorr_Final_CO2_flux;TFUcorr_Final_N2O_flux;Final_CH4_MDF;Final_CO2_MDF;Final_N2O_MDF;logFinal_CH4_flux;logFinal_CO2_flux;logFinal_N2O_flux
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5;May R5;May 5.0;2680;15.4;9.7;18.7;*;82.606;*;34;3.895;13.937;#VALUE!;1.917;#VALUE!
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5.1;May R5;May 5.1;2681;15.6;8.7;19.6;-7.257;102.346;23.693;10.046;3.972;4.118;-0.861;2.01;1.375
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5.2;May R5;May 5.2;2682;15.7;8;20;-14.374;177.261;16.212;10.257;4.056;4.205;-1.158;2.249;1.21
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5.3;May R5;May 5.3;2683;16;8.3;21;-11.273;114.337;8.009;10.351;4.093;4.243;-1.052;2.058;0.904
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5.4;May R5;May 5.4;2684;15.7;9;20.1;-15.633;123.275;7.035;10.447;4.131;4.282;-1.194;2.091;0.847
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5.5;May R5;May 5.5;2685;15.7;8.7;19.7;-6.296;104.917;4.733;9.914;3.92;4.064;-0.799;2.021;0.675
6-May-13;6;May;2013;Autumn;Catarina;3;Elevated;5;5.6;May R5;May 5.6;2686;15.9;10;19.6;-9.212;102.379;6.108;10.4;4.112;4.263;-0.964;2.01;0.786
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.1;May R6;May 6.1;2687;16.6;3.7;20.1;-66.119;116.826;-11.293;10.479;4.143;4.295;-1.82;2.068;-1.053
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.2;May R6;May 6.2;2688;16.5;6.3;20.6;-28.632;157.889;14.933;10.333;4.086;4.235;-1.457;2.198;1.174
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.3;May R6;May 6.3;2689;16.5;6.7;20.7;-23.506;131.663;-2.533;10.008;3.957;4.103;-1.371;2.119;-0.404
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.4;May R6;May 6.4;2690;16;6.3;19.6;-96.3;113.193;-0.007;36.507;4.182;4.336;-1.984;2.054;2.182
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.5;May R6;May 6.5;2691;16.5;5.7;19.6;-26.225;73.547;5.622;10.77;4.259;4.415;-1.419;1.867;0.75
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.6;May R6;May 6.6;2692;16.4;7.3;20;-24.448;164.324;14.672;10.209;4.037;4.185;-1.388;2.216;1.167
6-May-13;6;May;2013;Autumn;Loic;3;Ambient;6;6.7;May R6;May 6.7;2693;16.3;5.7;19.5;-19.093;154.799;10.508;10.178;4.025;4.172;-1.281;2.19;1.022
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1;Jun R1;Jun 1.0;3084;13.7;9.3;13.7;-8.456;36.405;-1.26;10.729;4.242;4.398;-0.927;1.561;-0.1
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1.1;Jun R1;Jun 1.1;3085;13.6;9.3;12.9;-29.434;41.153;-5.909;10.347;4.091;4.241;-1.469;1.614;-0.772
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1.2;Jun R1;Jun 1.2;3086;13.6;9.7;14;-17.178;55.888;0.657;10.012;3.959;4.104;-1.235;1.747;-0.183
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1.4;Jun R1;Jun 1.4;3087;13.9;9.3;13.8;-22.004;60.363;-0.841;10.627;4.202;4.356;-1.343;1.781;0.075
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1.5;Jun R1;Jun 1.5;3088;13.5;10.7;14;-24.189;36.49;3.838;10.701;4.231;4.387;-1.384;1.562;0.584
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1.6;Jun R1;Jun 1.6;3089;13.4;11.7;13.8;-17.411;60.338;1.909;11.267;4.455;4.619;-1.241;1.781;0.281
13-juin-11;11;Jun;2013;Autumn;Yui;1;Elevated;1;1.7;Jun R1;Jun 1.7;3090;13.6;10;13;-30.074;52.488;-3.328;10.541;4.168;4.321;-1.478;1.72;-0.522
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2;Jun R2;Jun 2.0;3091;13.4;10;10.3;-22.291;43.366;3.943;10.908;4.313;4.471;-1.348;1.637;0.596
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2.1;Jun R2;Jun 2.1;3092;13.5;9.7;10.6;-3.557;77.667;5.166;10.78;4.262;4.419;-0.551;1.89;0.713
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2.2;Jun R2;Jun 2.2;3093;13.4;9.3;10.3;-6.022;31.978;1.173;9.943;3.932;4.076;-0.78;1.505;0.069
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2.3;Jun R2;Jun 2.3;3094;13;7;10.6;-11.649;36.567;4.786;10.963;4.335;4.494;-1.066;1.563;0.68
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2.5;Jun R2;Jun 2.5;3095;13.4;8.7;9.7;-16.071;44.144;3.35;11.047;4.368;4.528;-1.206;1.645;0.525
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2.6;Jun R2;Jun 2.6;3096;13.3;8.3;11;-16.371;57.104;-1.251;10.98;4.342;4.501;-1.214;1.757;-0.097
13-juin-11;11;Jun;2013;Autumn;Yui;1;Ambient;2;2.7;Jun R2;Jun 2.7;3097;13.4;11;10.4;-7.083;68.136;11.314;10.871;4.298;4.456;-0.85;1.833;1.054
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3;Jun R3;Jun 3.0;3098;14.2;10.3;18.6;-28.786;54.792;-3.742;10.194;4.031;4.178;-1.459;1.739;-0.573
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3.1;Jun R3;Jun 3.1;3099;14;10.3;18.5;-23.436;55.851;32.209;10.019;3.962;14.175;-1.37;1.747;1.508
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3.2;Jun R3;Jun 3.2;3100;14;10;18.3;-17.917;41.96;-2.334;10.544;4.169;4.322;-1.253;1.623;-0.368
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3.4;Jun R3;Jun 3.4;3101;14;12.3;17.5;-29.998;68.351;-5.313;10.443;4.129;4.281;-1.477;1.835;-0.725
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3.5;Jun R3;Jun 3.5;3102;14;15.3;18.2;-7.163;62.91;6.307;10.337;4.087;4.237;-0.855;1.799;0.8
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3.6;Jun R3;Jun 3.6;3103;14;10.7;17.3;-12.097;74.133;2.953;10.304;4.074;4.224;-1.083;1.87;0.47
13-juin-11;11;Jun;2013;Autumn;Yui;2;Ambient;3;3.7;Jun R3;Jun 3.7;3104;13.8;11;18.7;-23.449;74.483;2.056;10.045;3.972;4.117;-1.37;1.872;0.313
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4;Jun R4;Jun 4.0;3105;14.3;11.7;18.7;-8.58;73.921;-0.772;10.658;4.214;4.369;-0.933;1.869;0.112
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4.1;Jun R4;Jun 4.1;3106;13.9;13.3;17.7;-14.902;86.023;5.608;10.987;4.344;4.504;-1.173;1.935;0.749
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4.3;Jun R4;Jun 4.3;3107;13.6;12.7;16.5;-24.605;64.422;4.645;9.942;3.931;4.075;-1.391;1.809;0.667
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4.4;Jun R4;Jun 4.4;3108;13.8;13.7;17.9;-17.408;59.969;4.847;10.542;4.168;4.321;-1.241;1.778;0.685
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4.5;Jun R4;Jun 4.5;3109;13.9;13.3;17.4;-17.754;83.489;2.408;10.495;4.15;4.302;-1.249;1.922;0.382
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4.6;Jun R4;Jun 4.6;3110;13.8;13.7;16.1;-8.889;54.89;2.814;11.047;4.368;4.528;-0.949;1.739;0.449
13-juin-11;11;Jun;2013;Autumn;Pankaj;2;Elevated;4;4.7;Jun R4;Jun 4.7;3111;13.5;12.3;16.4;-9.196;35.738;5.911;9.913;3.92;4.063;-0.964;1.553;0.772
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5;Jun R5;Jun 5.0;3112;12.8;17.7;13.4;-18.416;31.978;3.288;10.033;3.967;4.113;-1.265;1.505;0.517
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5.1;Jun R5;Jun 5.1;3113;13;16.3;13.4;-14.776;55.787;9.502;10.263;4.058;4.207;-1.17;1.747;0.978
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5.2;Jun R5;Jun 5.2;3114;12.9;15.7;13.3;-24.11;*;27.105;10.497;4.151;4.303;-1.382;#VALUE!;1.433
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5.3;Jun R5;Jun 5.3;3115;13.7;16.7;13.3;-0.988;61.023;6.763;10.629;4.203;4.357;0.005;1.785;0.83
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5.4;Jun R5;Jun 5.4;3116;13;18.7;13.7;-16.218;83.702;7.346;10.68;4.223;4.378;-1.21;1.923;0.866
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5.5;Jun R5;Jun 5.5;3117;13.2;17.3;14;-18.505;69.115;2.367;10.111;3.998;4.144;-1.267;1.84;0.374
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Elevated;5;5.6;Jun R5;Jun 5.6;3118;13.6;18.3;13.7;-14.225;72.811;4.954;10.614;4.197;4.351;-1.153;1.862;0.695
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.1;Jun R6;Jun 6.1;3119;13.4;14.7;10.3;-29.288;89.128;10.229;10.841;4.287;4.444;-1.467;1.95;1.01
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.2;Jun R6;Jun 6.2;3120;13.2;16.7;11;-27.917;80.3;14.489;10.682;4.224;4.379;-1.446;1.905;1.161
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.3;Jun R6;Jun 6.3;3121;12.9;17.3;10.7;-22.72;32.575;4.163;10.361;4.097;4.247;-1.356;1.513;0.619
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.4;Jun R6;Jun 6.4;3122;12.9;17.3;9.5;-3.239;54.708;10.444;10.955;4.332;4.491;-0.51;1.738;1.019
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.5;Jun R6;Jun 6.5;3123;13.2;18;9.5;-18.872;80.143;6.836;11.155;4.411;4.573;-1.276;1.904;0.835
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.6;Jun R6;Jun 6.6;3124;12.9;16.7;9.8;-3.645;76.462;24.604;10.577;4.182;4.336;-0.562;1.883;1.391
13-juin-11;11;Jun;2013;Autumn;Pankaj;3;Ambient;6;6.7;Jun R6;Jun 6.7;3125;13.2;15.7;10;-14.346;62.222;7.55;10.52;4.16;4.312;-1.157;1.794;0.878
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1;Jul R1;Jul 1.0;3270;12.5;10;18.7;-4.545;64.74;-5.799;10.545;4.17;4.323;-0.658;1.811;-0.763
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1.1;Jul R1;Jul 1.1;3271;12.5;9.3;17.2;12.966;77.634;6.007;10.194;4.031;4.179;1.113;1.89;0.779
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1.2;Jul R1;Jul 1.2;3272;12.3;10.7;18.4;1.869;81.316;1.901;9.861;3.899;4.042;0.272;1.91;0.279
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1.4;Jul R1;Jul 1.4;3273;12.6;10.3;18.7;8.734;90.77;7.073;10.448;4.131;4.283;0.941;1.958;0.85
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1.5;Jul R1;Jul 1.5;3274;12.3;12.3;19;5.137;103.902;8.611;10.518;4.159;4.312;0.711;2.017;0.935
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1.6;Jul R1;Jul 1.6;3275;12;11.7;16.9;-4.5;50.438;-1.66;11.147;4.408;4.569;-0.653;1.703;-0.22
13-juil-05;5;Jul;2013;Winter;Loic;1;Elevated;1;1.7;Jul R1;Jul 1.7;3276;12.4;10.3;17.3;-6.048;88.195;1.207;10.385;4.106;4.257;-0.782;1.945;0.082
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2;Jul R2;Jul 2.0;3277;12;10.3;16;-14.753;63.223;0.775;10.693;4.228;4.383;-1.169;1.801;-0.11
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2.1;Jul R2;Jul 2.1;3278;12;11.7;16;-8.32;94.329;3.387;10.579;4.183;4.336;-0.92;1.975;0.53
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2.2;Jul R2;Jul 2.2;3279;12.2;10.7;17.8;-7.457;68.007;-4.294;9.687;3.83;3.971;-0.873;1.833;-0.633
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2.3;Jul R2;Jul 2.3;3280;12;9.3;17.8;-6.296;58.087;3.655;10.691;4.227;4.382;-0.799;1.764;0.563
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2.5;Jul R2;Jul 2.5;3281;12;9.3;16;-15.03;65.972;5.672;10.807;4.273;4.43;-1.177;1.819;0.754
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2.6;Jul R2;Jul 2.6;3282;12.1;9.7;16.7;-11.572;64.261;1.432;10.764;4.256;4.412;-1.063;1.808;0.156
13-juil-05;5;Jul;2013;Winter;Yui;1;Ambient;2;2.7;Jul R2;Jul 2.7;3283;12;11;20.6;-5.893;105.542;14.272;10.493;4.149;4.301;-0.77;2.023;1.154
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3;Jul R3;Jul 3.0;3284;13;12.3;16.6;-10.222;81.927;-1.994;10.264;4.058;4.207;-1.01;1.913;-0.3
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3.1;Jul R3;Jul 3.1;3285;12.8;12;17;-11.476;84.653;4.299;10.071;3.982;4.128;-1.06;1.928;0.633
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3.2;Jul R3;Jul 3.2;3286;12.7;12;16.8;-5.183;78.54;0.712;10.598;4.191;4.344;-0.715;1.895;-0.148
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3.4;Jul R3;Jul 3.4;3287;12.8;13.3;16.9;-11.238;69.172;3.447;10.465;4.138;4.289;-1.051;1.84;0.537
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3.5;Jul R3;Jul 3.5;3288;12.8;15.3;17;-9.853;73.115;-0.083;10.38;4.104;4.255;-0.994;1.864;1.081
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3.6;Jul R3;Jul 3.6;3289;12.8;11.7;17;-11.83;77.937;2.351;10.315;4.078;4.228;-1.073;1.892;0.371
13-juil-05;5;Jul;2013;Winter;Yui;2;Ambient;3;3.7;Jul R3;Jul 3.7;3290;12.8;12.3;17;-9.529;73.413;-0.547;10.104;3.995;4.142;-0.979;1.866;0.262
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4;Jul R4;Jul 4.0;3291;12.9;13;21.9;-24.38;106.041;3.012;10.543;4.169;4.322;-1.387;2.025;0.479
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4.1;Jul R4;Jul 4.1;3292;12.5;15;18.8;2.539;85.588;7.102;10.945;4.328;4.487;0.405;1.932;0.851
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4.3;Jul R4;Jul 4.3;3293;12.2;11.7;18.6;-4.033;62.65;3.087;9.87;3.903;4.046;-0.606;1.797;0.49
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4.4;Jul R4;Jul 4.4;3294;12.3;13;17.7;-9.42;44.401;7.603;10.549;4.171;4.324;-0.974;1.647;0.881
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4.5;Jul R4;Jul 4.5;3295;12.5;14.3;17.2;-4.62;72.965;6.084;10.502;4.153;4.305;-0.665;1.863;0.784
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4.6;Jul R4;Jul 4.6;3296;12.1;14;17.8;-12.828;106.055;3.759;10.983;4.343;4.502;-1.108;2.026;0.575
13-juil-05;5;Jul;2013;Winter;Yui;2;Elevated;4;4.7;Jul R4;Jul 4.7;3297;12.1;13.7;18.7;-9.038;59.282;7.004;9.835;3.889;4.031;-0.956;1.773;0.845
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5;Jul R5;Jul 5.0;3298;12.6;19;17.3;-6.051;52.106;6.021;9.898;3.914;4.057;-0.782;1.717;0.78
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5.1;Jul R5;Jul 5.1;3299;12.7;17;17.9;-18.127;68.731;4.843;10.105;3.995;4.142;-1.258;1.837;0.685
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5.2;Jul R5;Jul 5.2;3300;13;15.3;16;-13.711;93.914;17.024;10.399;4.112;4.263;-1.137;1.973;1.231
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5.3;Jul R5;Jul 5.3;3301;13;15.3;16.7;-2.552;72.409;-1.667;10.504;4.153;4.306;-0.407;1.86;-0.222
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5.4;Jul R5;Jul 5.4;3302;12.8;18;17.4;-10.017;81.897;0.236;10.544;4.169;4.322;-1.001;1.913;-0.627
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5.5;Jul R5;Jul 5.5;3303;12.7;16.3;17.9;-14.18;59.281;-1.09;9.975;3.944;4.089;-1.152;1.773;-0.038
13-juil-05;5;Jul;2013;Winter;Loic;3;Elevated;5;5.6;Jul R5;Jul 5.6;3304;13;17.3;16.4;-1.15;62.61;13.865;10.515;4.158;4.31;-0.061;1.797;1.142
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.1;Jul R6;Jul 6.1;3305;13.1;14.3;18.1;-11.403;94.081;32.54;10.551;4.172;4.325;-1.057;1.974;1.512
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.2;Jul R6;Jul 6.2;3306;13.1;18.3;19;-3.04;100.359;43.506;10.389;4.108;14.699;-0.483;2.002;1.639
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.3;Jul R6;Jul 6.3;3307;12.4;20.3;19.8;-8.237;83.908;11.291;10.039;3.97;4.115;-0.916;1.924;1.053
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.4;Jul R6;Jul 6.4;3308;12.5;20;16.7;-6.445;76.071;8.823;10.683;4.224;4.379;-0.809;1.881;0.946
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.5;Jul R6;Jul 6.5;3309;12.7;20;16.7;-8.088;93.138;4.058;10.878;4.301;4.459;-0.908;1.969;0.608
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.6;Jul R6;Jul 6.6;3310;13;19;21.4;0.042;96.134;15.722;10.161;4.018;4.165;-1.379;1.983;1.196
13-juil-05;5;Jul;2013;Winter;Loic;3;Ambient;6;6.7;Jul R6;Jul 6.7;3311;12.7;19.7;18.8;-9.094;75.595;4.084;10.203;4.034;4.182;-0.959;1.878;0.611
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1;Aug R1;Aug 1.0;3360;13.3;1.8;22.1;7.174;180.558;3.338;10.424;4.122;4.273;0.856;2.257;0.524
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1.1;Aug R1;Aug 1.1;3361;12.9;1.9;20.9;7.08;181.6;0.684;10.066;3.98;4.126;0.85;2.259;-0.165
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1.2;Aug R1;Aug 1.2;3362;12.8;2.4;20.7;-8.585;204.945;4.714;9.784;3.869;4.01;-0.934;2.312;0.673
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1.4;Aug R1;Aug 1.4;3363;13.1;1.7;21.7;-9.881;190.699;7.072;10.342;4.089;4.239;-0.995;2.28;0.85
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1.5;Aug R1;Aug 1.5;3364;12.5;4.1;20.4;-17.384;183.422;8.173;10.468;4.139;4.291;-1.24;2.263;0.912
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1.6;Aug R1;Aug 1.6;3365;12.5;4;22;-21.573;179.578;10.283;10.954;4.331;4.49;-1.334;2.254;1.012
6-Aug-13;6;Aug;2013;Winter;Catarina;1;Elevated;1;1.7;Aug R1;Aug 1.7;3366;12.8;2.6;23;-5.455;232.546;8.761;10.185;4.027;4.175;-0.737;2.367;0.943
